1,LAT,LON,TIPOLOGIA,name,LEGALE_RA,UBICAZIONE,City,,,Country,,,
882,40.6726,16.60847,Affittacamere,CASA SANTOSTEFANO,DIONISI ALESSANDRO,VICO DI VIA SANTO STEFANO 28,Matera,159,3556,Italy,10,4,43536
883,40.665982,16.61084,Affittacamere,LA ROSA DEI SASSI,AGRIRISTORIES SRLS,RECINTO CASTELVECCHIO 5/3,Matera,,,Italy,,,43537
884,40.665958,16.610867,Affittacamere,LA ROSA DEI SASSI2,AGRIRISTORIES SRLS,RECINTO CASTELVECCHIO 15,Matera,,,Italy,,,43537
885,40.662834,16.611346,Affittacamere,L'ARTIERE,ETARIUM SAS DI VITULLI ISABELLA & C.,VIA CONCHE 15,Matera,159,108,Italy,2,9,43532
886,40.6619,16.6113,Affittacamere,LE GROTTE DEL CAVEOSO,FRANCESCO PAOLICELLI,VICO DI VIA CONCHE 2 2A 3 4 ,Matera,159,2302,Italy,23,15,43539
887,40.682408,16.580974,Affittacamere,AQUARIUM,RUSCIGNO MICHELA,VIA DONIZETTI 8,Matera,51,1688,Italy,12,7,43567
,,,Affittacamere,LIVINGSTONE,BRUNA TATARANNI,VIA LUCANA 107,Matera,159,3963,Italy,6,8,43585
,,,Affittacamere,DUE FORNI,CHIEFA ALESSANDRO,VIA FIORENTINI 185 187,Matera,159,379,Italy,2,12,43557
,,,Affittacamere,LA ROSA DEI SASSI2,AGRISTORIES SARLS,RECINTO CASTELVECCHIO 15,Matera,159,1529,Italy,1,4,43537
,,,Affittacamere,LA ROSA DEI SASSI,AGRISTORIES SARLS,RECINTO CASTELVECCHIO 5/3,Matera,159,1529,Italy,17,2,43537
,,,Affittacamere,ESSENZE HOME GALLERY,WELCOME MATERA SRL,RECINTO MARIO PAGANO 13,Matera,159,863,Italy,16,12,43595
